id,件名,次の一手,担当,待ち先,期日,状態,更新日,出典,st
T038,グループ組織再編（合併）の検討（本橋さん提案・CEO 8/24未明）,主眼=上場に向けた整理とCEO確認（8/24）。v2を経営資料フォルダに納品（v1はゴミ箱）: 存続会社=ワンダー（CEO方針）・RSP/HD吸収合併・COCO/ADC子会社維持。商号は「ワンダーのままReSow等へ商号変更」も選択肢（承継手続き不要）。上場観点=シンプル組織で審査/J-SOXコスト減・関連当事者取引は解消済み・合併時期がN-2期の起点・B型上場の急所=工賃（#39へ独立起票）。宿題=繰欠確認/自治体協議/子会社への施設外就労の制度確認/ADC発注単価の適正性/上場スケジュール整合——田村税理士・岩…（全文は docs/PENDING.md PENDING#38）,社長,クロ／社長,中計後,v2納品・フェーズ0（棚卸し）へ,2026-8-24,PENDING#38,blocked
T039,工賃向上プロジェクト（CEO 8/24「工賃問題が圧倒的な課題」・上場準備の中核）,まず現状把握: 事業所別の平均工賃月額・生産活動収支（工賃倍率）・報酬区分への影響を全16事業所で見える化（データ源=RIN/国保連/MFの生産活動会計・リンに調査依頼予定）→ベンチマーク（全国/都道府県平均・業界上位）比較→向上策の柱出し（施設外就労拡大・ADC発注単価設計・高単価受注開拓）。ADC発注単価は関連当事者取引の適正性とセットで設計,クロ,クロ,現状把握=8月中,起票・現状把握から,2026-8-24,PENDING#39,todo
T040,MF総勘定元帳スナップショット＋家賃所見フォロー（CEO指示 8/24）,①MF再接続後、全仕訳CSV（勘定科目・部門・取引先・摘要）をfinanceスナップショットへ保存——初回はFY2025期首〜一括・以後毎月10日ジョブに組込・部門マスタも保存（削除済み部門の棚卸し込み）。他法人はワンダー完了後に社長へ切替依頼 ②家賃所見: 琉球リゾート=支払い漏れ既知（CEO 8/24）／全保連の継続保障委託料26.3万円/月=野原さん確認（社長）／ミライストーリー=ミャンマーの子達の管理費・勝木=金沢の駐車場と判明・アイシン=用途不明のまま→野原さん回答後に家賃一覧v2へ反映 8/28: 社長…（全文は docs/PENDING.md PENDING#40）,クロ,クロ,-,5社受領済み・完了,2026-8-28,PENDING#40,done
T041,M&A・物件探索（CEO指示 8/24: B型=全国／他福祉=大阪近郊／実業=拠点地域／和裁・物件・コワーキング）,"探索リストv1を経営資料フォルダに納品（B型は買い手市場・バトンズだけで就労支援206件/大阪37件・相場300万〜1,500万+大阪指定枠プレミアム3,000万前後）。優先開示請求候補3件=大阪B型3,000万/京都B型社団1,500万/沖縄 移行+B型54名。和裁・お針子は公開市場に出ない→relay・承継センター・和裁組合への直接アプローチ＋呉服卸の加工部ごと取得が本命筋。次の一手=バトンズ/トランビ法人登録+新着アラート・買いニーズ登録（社長操作）→以後の定点観測を月次ジョブ化するか判断",社長,社長（会員登録）→クロ,-,リストv1納品,2026-8-24,PENDING#41,blocked
T042,バクラク申請DB＋領収書点検ビューア（CEO指示「バクラク申請をDB化して領収書チェック」→バタコ設計・クロレビュー）,"バタコが設計書納品→クロが6問GO回答（8/24）。方式=バクラク内部GraphQL APIで明細行グレイン取得（支払先も取れる＝会議費のMF突合は不要化）。会議費先行(4,234申請/4,540明細/領収書約3,760)→SQLite(rin.db流儀)＋静的HTMLビューア(A案)。置き場=01_data/経費点検DB新設・権限は社長/クロ/バタコ限定。画像=長辺1600px圧縮で開始（原寸要否は田渕さん確認＝社長へ）。申請またぎ重複検出(dup_key)を9/1から月次組込（¥33,681二重計上・承認済通過…（全文は docs/PENDING.md PENDING#42）",クロ,クロ／バタコ,会議費一式=8月中／遡及=2024-09,設計GO・実装着手・遡及範囲確定,2026-8-25,PENDING#42,todo
T043,中計発表会（9/11）表彰の未決2件（コダマ8/24コア会議レポートより）,(a)賞金額が未確定——社長が「一度話し合って決める」→タスク化。相談相手・金額・原資を確定。(b)選考基準が「社長が決める」で停止。推薦はコア会議LINEに理由添えで集約する建て付け＝集約担当と締切設定が必要。枠は社長確定済み（永年勤続＋事業所表彰5枠[徳島・FC各1含む]＋スタッフ表彰5〜6名[ワンダー3〜4・生活支援2・FC対象外・地域バランス]）。会議で出た「この1年で支援記録を最も多く書いた人（文字数）を記録から選ぶ」案は、リン統合DB×記録者ランキングで数字を先出し可能——クロが基準の数字を用意して社長…（全文は docs/PENDING.md PENDING#43）,社長,社長／クロ,9/11,選定・賞金確定→運営準備,2026-8-25,PENDING#43,blocked
T044,カオナビ「職種」の記入依頼（配置基準判定・Health Scoreの鍵）,役職と職種は別項目として整理（カオナビには役職は入っているが職種＝職業指導員/生活支援員/サビ管等の区分が未入力）。クロが記入依頼文＋記入用ファイルを作成。8/25: 在籍210名（役員除く）の事業所別ロスターをカオナビ基本情報から生成し「職種記入リスト_管理本部/カオナビ記入用」としてINBOXにSheet設置（職種列は空・記入待ち・個人名含むため番台/リポジトリ非掲載）。※基本情報に職種列そのものが無いことを確認＝全社員新規記入。8/25: 社長が管理本部への共有を直接リンへ手配済み→クロがリンへ進捗報告（渡し…（全文は docs/PENDING.md PENDING#44）,社長,社長→リン→管理本部,記入=今週,社長手配済み・リン報告待ち,2026-8-25,PENDING#44,blocked
T045,ユカ（LINE WORKS）の次タスク確定,社長「ユカは何したらよい？」→クロが4点で指示メモ設置（ユカフォルダ）: ①指示書v1.1反映（要配慮＝個人健康語は除外継続・労務安全事象は件数/ルーム集計のみ・個人名/本文不可）②月次サマリ＝前月分の労務安全サマリを月初1枚 ③新フォルダ巡回継続 ④自己点検5点で報告。月次の自動化はCowork定例設定（社長操作）が要 9/1 8月分の月次がスキップ——Macは起動していたが共有ドライブ`00.ReSow参謀AI`の`LineWoksPJ`フォルダへのアクセス許可が下りず、LINE WORKSログの取り込み・労務…（全文は docs/PENDING.md PENDING#45）,社長,ユカ／社長(Cowork設定・フォルダアクセス承認),月次=月初,指示設置・月次自動化は社長待ち,2026-9-2,PENDING#45,blocked
T046,全員共通の自己点検リスト（タスクチェック5点）,社長「タスクチェック大丈夫？と振ると自分で棚卸しできる」→共通のものさしを00_連絡板/_共通に設置（①HWM前回どこまで②欠測③接続OK④未回答の質問⑤次やること）。社長の声かけ時に全員がこの5点でセルフチェック→報告、クロが巡回便で要点集約,クロ,全アルバイト,運用中,設置完了・運用へ,2026-8-25,PENDING#46,done
T047,台湾出張（8/30〜9/3）のAWAY MODE運用,社長カレンダーで出張確認（8/30〜9/3台湾）。出張中の報告頻度・緊急連絡の線引き・番台/セバスの運用をクロが提案→社長承認。番台「🗂やりかけ台帳」に起票 8/29 社長回答により決着＝AWAY MODEは設けない（通常運転）。①報告頻度は朝夕2回を維持（「出張中でも仕事なので」）②緊急連絡の線引きも通常どおり。パソコンがすぐ触れないだけで、社長はチェックも作業もする③巡回便は4時間おき（1日6回）のまま維持——社長が様子を見たいとのこと。あわせて社長より「クロは信頼できるので判断を広げてよい。判断できるところは…（全文は docs/PENDING.md PENDING#47）,社長,クロ→社長,8/29,完了（AWAY MODEは設けず通常運転）,2026-8-29,PENDING#47,done
T048,リンの夜間ジョブ・脱Mac依存プロジェクト,8/26未明: 夜間ジョブ・ヘルスビートとも不発（Macが使えなかった様子）。社長と相談し、Mac依存を解消する方向で検討開始。8/27 01:40JST リンより操作手順2本を受領し判明: RINは既にスクリプト化済み（Python+Playwright・rin_collect.py、ヘッドレスChromium、README上もLinux常時起動機での運用を想定）。Mac依存の正体は①launchd起動②Googleドライブのローカルマウント書き込み③Macスリープで停止、の3点のみ→cron化＋Drive AP…（全文は docs/PENDING.md PENDING#48）,社長,クロ／リン／社長,移設の生データ判断=社長,VM移行へ統合（#85）,2026-9-5,PENDING#48,done
T049,夏季賞与の配分確定（8/25臨時経営会議）,完了（8/28 社長より伝送完了の確認。支給は8/31）,クロ,-,8/28,完了,2026-8-28,PENDING#49,done
T050,旅費・交際費・出張規程まわりの9/1施行群,岩崎弁護士が出張規程・交際費規程を完成（8月末承認・9/1施行）。タクシー代は不可で確定。旅費規程は野原さんが作成中（宿泊費の上限方式は検討中）。支援記録の基本ルール（本人発言は鉤括弧）を9/1施設長会議で周知（石橋さん）。主任ミーティング（生活支援の主任も参加）は9/16(水)16:30〜 8/29 社長確認: 旅費規程・交際費規程・出張規程はまだ社長の手元に届いていない（岩崎弁護士から未着）。社長が岩崎弁護士へ確認する。週明けになる可能性があり、その場合9/1施行には間に合わない。施行日をずらす場合は、9/1施…（全文は docs/PENDING.md PENDING#50）,社長,岩崎弁護士→社長,**9/1施行は要再設定**,未着・社長が確認中,2026-8-29,PENDING#50,blocked
T051,恩納村企画の日程・稟議（8/20取締役会）,田原さんが小田さんへ稟議を上げる予定が未着手の可能性。社長は日程候補を田原さんへ送付する約束あり。停滞していないか確認要,社長,社長／田原さん,できるだけ早く,未着手の可能性・要確認,2026-8-26,PENDING#51,blocked
T052,法人税等の納付判断（8/24中村税理士事務所通話・取扱注意）,社長判断により9月へ延期（8月中の納付は見送り、9月申告時に対応）,社長,社長→ソロバン,9月,9月対応へ変更,2026-8-28,PENDING#52,done
T053,RT会（RoundTable）運営タスク（8/25第0回決定）,社長の直接タスク: ①10/23に出られない人がいるため日程再調整 ②9/18モデレーター会と取締役会の重複解消 ③モデレーターの施設長へ改めて依頼 ④モデレーターへ運営シート配布（9/18まで）。9/11中計発表会でライフライン実演5〜10分の枠あり,社長,社長,次回まで／9/18,未着手,2026-8-26,PENDING#53,blocked
T054,Instagram「クマクマワーク」戦略始動（8/25決定）,当事者本人向けに方針転換（8/12方針は撤回）。SNSコンサルがプロフィール・漫画ネタを9/8までに用意→社長がLINEで内容確認→OK後に定期運用開始。社長タスク: ①写真撮影の手配（クマのぬいぐるみ＋役員13名集合写真・できれば9/11より前）②8/12議事録を見て動いている人がいないか一言。次回打合せ9/8(月)11:00,社長,社長／SNSコンサル,9/8,準備中,2026-8-27,PENDING#54,todo
T055,データ品質管理部「マモル」の立ち上げ（8/27社長設置）,収集はルート段階2で復旧（9/5）。マモルは段階4まで quality_YYYY-MM-DD.json で判定・段階4で _並走_VM/ の xlsx に対応表を切替。v3.2改訂は段階4時。,リン,マモル／リン,毎朝10時,経路切替中,2026-9-5,PENDING#55,doing
T056,セバス・アオイへのタスク連携ルート整備（8/27社長指示）,「タスク共有が漏れている」指摘を受け整備。①セバスへ会社側の社長期日物一式（法人税判断・賞与・恩納村・RT会・Instagram・表彰・台湾前逆算）を送付し毎朝7:37配信への統合を依頼 ②アオイへ台湾出張(8/30-9/3)の服薬携行・食事対策と直近負荷を連携 ③コダマ・セバスへWEB（台帳/執務室）の更新徹底を伝達（社長指示） ④毎日18:20の「連携便」を新設——スズ定例後にPENDING差分をセバス（健康関連はアオイ）へ自動送付。番台の時刻表にマモル10:00・連携便18:20を今夜のスズ定例で追記 → 9…（全文は docs/PENDING.md PENDING#56）,クロ,クロ,常設,稼働開始,2026-9-5,PENDING#56,done
T057,ReSowデータ経営基盤プロジェクト（8/27 CEO構想・PL=音嶋さん）,構想: ①業務システム→②収集・原本保存（イミュータブル）→③共通データ基盤（Raw/Clean/Master共通ID/Mart）→④横断検索・経営分析・請求監査・AI活用。設計原則=音嶋さんが開けばチェック・判断できる道具にする（成果物は毎回スプシ/画面の形）。構想書v1をDriveに納品（fileId 1t6KRaLfJGxDQetw9WFg0na8P-63ykmPr7MP-5gaxgoo）。Phase0=収集安定化（進行中）／Phase1=共通IDマスタ＋配置表自動化（9月・音嶋さん初号成果物）／Phase2…（全文は docs/PENDING.md PENDING#57）,社長,社長→音嶋さん／クロ,Phase1=9月,構想書v1納品・キックオフ待ち,2026-8-27,PENDING#57,todo
T058,ジュガール分析の開始（8/27社長承認・担当=バタコ）,まず偵察ミッションを設置（バタコへ_新任務_ジュガール偵察_2026-08-27）: 事前申請データの所在・エクスポート可否・申請種別の全体像・技術面を次回Mac接続時に確認（取得はしない・偵察のみ・稟議機微は記録に書かない）。目的①=事前申請×経費突合（タクシー代チェック等・バタコ本業に統合）②=ジュガール全体分析（稟議滞留・承認リードタイム）は偵察後に担当判断。データ基盤（#57）の業務システム取込の先行例。社長: バタコの次回Mac接続時にジュガールへのログインをお願いする可能性あり,クロ,バタコ→クロ,偵察=今週,偵察指示設置済み,2026-8-27,PENDING#58,todo
T059,アルバイトのSonnet移行（8/27社長決定・8/29切替）,使用量対策第2弾（週間18%消費ペースを受け）。対象=リン・バタコ・ユカ・チサト＋マモル。準備: ①各自が指示書を「Sonnetでも迷わない」形に自己点検→改訂案提出(8/28中) ②「Sonnetでは難しい工程」の自己申告→クロ/Opus専任が引き取り ③切替後ルール（迷ったら即質問メモ・検算+1・新規案件は手順案を先に）を_共通に設置済み。コダマ・セバス・アオイは当面Opus維持で様子見。8/29に社長がCowork設定/各チャットでモデル変更→初週はクロが検収を厚めに。8/27夜 リン・バタコ・ユカの3名が期…（全文は docs/PENDING.md PENDING#59）,社長,社長／全アルバイト／クロ,8/29切替,4名承認済み・チサト待ち,2026-8-28,PENDING#59,todo
